date,hour,temperature,humidity,pressure,weather
2015-01-11,12,6.9,94,101.34,
2015-01-11,13,6.7,93,101.36,
2015-01-11,14,6.8,92,101.32,
2015-01-11,15,6.8,91,101.31,
2015-01-11,16,6.8,91,101.32,
2015-01-11,17,6.8,92,101.39,
2015-01-11,18,6.7,93,101.41,
2015-01-11,19,6.7,94,101.45,
2015-01-11,20,6.7,94,101.50,
2015-01-11,21,6.8,94,101.54,
2015-01-11,22,6.8,94,101.57,
2015-01-11,23,6.9,94,101.61,
2015-01-11,24,6.8,94,101.66,
2015-01-12,01,6.8,93,101.69,
2015-01-12,02,6.9,92,101.74,
2015-01-12,03,7.0,93,101.75,
2015-01-12,04,7.0,93,101.78,
2015-01-12,05,6.5,91,101.80,
2015-01-12,06,7.0,92,101.81,
2015-01-12,07,7.0,92,101.84,
2015-01-12,08,6.7,93,101.87,
2015-01-12,09,6.8,92,101.92,
2015-01-12,10,7.1,91,102.01,
2015-01-12,11,7.5,91,102.07,
2015-01-12,12,8.1,85,102.09,
2015-01-12,13,8.7,81,102.07,
2015-01-12,14,7.8,88,102.08,
2015-01-12,15,7.6,89,102.09,
2015-01-12,16,7.7,89,102.09,
2015-01-12,17,7.5,90,102.15,
2015-01-12,18,7.0,91,102.18,
2015-01-12,19,6.2,92,102.22,
2015-01-12,20,6.5,93,102.22,
2015-01-12,21,6.1,93,102.23,
2015-01-12,22,6.5,94,102.29,
2015-01-12,23,6.2,94,102.35,
2015-01-12,24,5.8,94,102.38,
2015-01-13,01,5.8,94,102.40,
2015-01-13,02,6.1,92,102.41,
2015-01-13,03,6.3,88,102.43,
2015-01-13,04,6.4,88,102.46,
2015-01-13,05,6.4,88,102.47,
2015-01-13,06,6.3,90,102.43,
2015-01-13,07,6.0,88,102.42,
2015-01-13,08,5.7,88,102.41,
2015-01-13,09,5.8,87,102.45,
2015-01-13,10,6.0,87,102.48,
2015-01-13,11,6.2,87,102.51,
2015-01-13,12,6.3,86,102.49,
2015-01-13,13,6.2,86,102.44,
2015-01-13,14,6.5,86,102.37,
2015-01-13,15,6.6,85,102.35,
2015-01-13,16,6.4,85,102.33,
2015-01-13,17,6.0,86,102.29,
2015-01-13,18,5.3,88,102.25,
2015-01-13,19,5.1,89,102.18,
2015-01-13,20,5.1,87,102.12,
2015-01-13,21,5.4,90,102.12,
2015-01-13,22,4.9,91,102.11,
2015-01-13,23,5.0,91,102.07,
2015-01-13,24,4.6,92,102.03,
2015-01-14,01,4.6,91,101.97,
2015-01-14,02,4.6,91,101.89,
2015-01-14,03,4.5,91,101.87,
2015-01-14,04,4.4,91,101.87,
2015-01-14,05,4.3,91,101.85,
2015-01-14,06,4.3,91,101.75,
2015-01-14,07,3.8,92,101.72,
2015-01-14,08,3.8,93,101.69,
2015-01-14,09,4.2,92,101.68,
2015-01-14,10,4.4,91,101.65,
2015-01-14,11,4.5,90,101.65,
2015-01-14,12,5.2,86,101.62,
2015-01-14,13,6.0,81,101.59,
2015-01-14,14,6.3,79,101.57,
2015-01-14,15,6.2,79,101.51,
2015-01-14,16,5.6,79,101.48,
2015-01-14,17,5.4,84,101.52,
2015-01-14,18,4.6,88,101.48,
2015-01-14,19,4.8,89,101.42,
2015-01-14,20,4.2,91,101.41,
2015-01-14,21,3.8,92,101.43,
2015-01-14,22,3.9,89,101.45,
2015-01-14,23,3.9,88,101.51,
2015-01-14,24,3.7,88,101.54,
2015-01-15,01,3.6,90,101.44,
2015-01-15,02,4.4,93,101.34,
